BICCN_subclass_label	lookup_name	ontology_term_id	ontology_term_name	final	type
MGE-Sst	gabaergic neuron	CL:0000617	GABAergic neuron	"True"	cell_type
CA3	glutamatergic neuron	CL:0000679	glutamatergic neuron	"True"	cell_type
CA1	glutamatergic neuron	CL:0000679	glutamatergic neuron	"True"	cell_type
CA3-St18	glutamatergic neuron	CL:0000679	glutamatergic neuron	"True"	cell_type
Unc5c	glutamatergic neuron	CL:0000679	glutamatergic neuron	"True"	cell_type
Gfra1	gabaergic neuron	CL:0000617	GABAergic neuron	"True"	cell_type
ODC	oligodendrocyte	CL:0000128	oligodendrocyte	"True"	cell_type
PC	pericyte	CL:0000669	pericyte cell	"True"	cell_type
ANP	adult neuron precursor	CL:0011020	neural progenitor cell	"True"	cell_type
IT-L5	gabaergic neuron	CL:0000617	GABAergic neuron	"True"	cell_type
NP-L6	gabaergic neuron	CL:0000617	GABAergic neuron	"True"	cell_type
CGE-Lamp5	glutamatergic neuron	CL:0000679	glutamatergic neuron	"True"	cell_type
CT-L6	gabaergic neuron	CL:0000617	GABAergic neuron	"True"	cell_type
IG-CA2	gabaergic neuron	CL:0000617	GABAergic neuron	"True"	cell_type
DG-po	gabaergic neuron	CL:0000617	GABAergic neuron	"True"	cell_type
DG	gabaergic neuron	CL:0000617	GABAergic neuron	"True"	cell_type
CGE-Vip	glutamatergic neuron	CL:0000679	glutamatergic neuron	"True"	cell_type
OPC	oligodendrocyte precursor cell	CL:0002453	oligodendrocyte precursor cell	"True"	cell_type
ASC	astrocyte	CL:0000127	astrocyte	"True"	cell_type
MGC	microglia	CL:0000129	microglial cell	"True"	cell_type
PAL-Inh	glutamatergic neuron	CL:0000679	glutamatergic neuron	"True"	cell_type
PT-L5	gabaergic neuron	CL:0000617	GABAergic neuron	"True"	cell_type
MGE-Pvalb	glutamatergic neuron	CL:0000679	glutamatergic neuron	"True"	cell_type
VLMC	Vascular leptomeningeal cell	CL:0000708	leptomeningeal cell	"True"	cell_type
EC	endothelial cell	CL:0000115	endothelial cell	"True"	cell_type
VLMC-Pia	Vascular leptomeningeal cell	CL:0000708	leptomeningeal cell	"True"	cell_type
OLF	glutamatergic neuron	CL:0000679	glutamatergic neuron	"True"	cell_type
MSN-D2	glutamatergic neuron	CL:0000679	glutamatergic neuron	"True"	cell_type
L6b	gabaergic neuron	CL:0000617	GABAergic neuron	"True"	cell_type
IT-L6	gabaergic neuron	CL:0000617	GABAergic neuron	"True"	cell_type
IT-L23	gabaergic neuron	CL:0000617	GABAergic neuron	"True"	cell_type
IT-L4	gabaergic neuron	CL:0000617	GABAergic neuron	"True"	cell_type
OLF-Exc	gabaergic neuron	CL:0000617	GABAergic neuron	"True"	cell_type
CLA	gabaergic neuron	CL:0000617	GABAergic neuron	"True"	cell_type
Foxp2	glutamatergic neuron	CL:0000679	glutamatergic neuron	"True"	cell_type
MSN-D1	glutamatergic neuron	CL:0000679	glutamatergic neuron	"True"	cell_type
LSX-Inh	glutamatergic neuron	CL:0000679	glutamatergic neuron	"True"	cell_type
D1L-Fstl4	glutamatergic neuron	CL:0000679	glutamatergic neuron	"True"	cell_type
EP	gabaergic neuron	CL:0000617	GABAergic neuron	"True"	cell_type
D1L-PAL	glutamatergic neuron	CL:0000679	glutamatergic neuron	"True"	cell_type
Chd7	glutamatergic neuron	CL:0000679	glutamatergic neuron	"True"	cell_type
