RNA family	lookup_name	ontology_term_id	ontology_term_name	final	type
CA3	glutamatergic neuron	CL:0000679	glutamatergic neuron	"True"	cell_type
CT	glutamatergic neuron	CL:0000679	glutamatergic neuron	"True"	cell_type
ET	glutamatergic neuron	CL:0000679	glutamatergic neuron	"True"	cell_type
IT	glutamatergic neuron	CL:0000679	glutamatergic neuron	"True"	cell_type
NP	glutamatergic neuron	CL:0000679	glutamatergic neuron	"True"	cell_type
Lamp5	gabaergic neuron	CL:0000617	GABAergic neuron	"True"	cell_type
Pvalb	gabaergic neuron	CL:0000617	GABAergic neuron	"True"	cell_type
Sncg	gabaergic neuron	CL:0000617	GABAergic neuron	"True"	cell_type
Sst	gabaergic neuron	CL:0000617	GABAergic neuron	"True"	cell_type
Vip	gabaergic neuron	CL:0000617	GABAergic neuron	"True"	cell_type
low quality cell		CL:0000003	native cell	"True"	cell_type
low quality		CL:0000003	native cell	"True"	cell_type
