sub_class	sub_class_lookup_name	ontology_term_id	ontology_term_name	final
Vip	Vip	CL:0000617		True
L4	L4	CL:0000679		True
L2/3	L2/3	CL:0000679		True
L2/3_Syt10	L2/3_Syt10	CL:0000679		True
Pvalb	Pvalb	CL:0000617		True
Unknown	Unknown	unknown		True
OPC	OPC	CL:0002453		True
Astrocyte	Astrocyte	CL:0000127		True
L5a2	L5a2	CL:0000679		True
L5a1	L5a1	CL:0000679		True
L5	L5	CL:0000679		True
Microglia	Microglia	CL:0000129		True
Endothelial	Endothelial	CL:0000115		True
Sst_Cbln4	Sst_Cbln4	CL:0000617		True
Ndnf	Ndnf	CL:0000617		True
nan	nan	unknown		True
L6b	L6b	CL:0000679		True
Sst	Sst	CL:0000617		True
Oligodendrocyte	Oligodendrocyte	CL:0000128		True
Th	Th	CL:0000617		True
Sst_Nr2f2	Sst_Nr2f2	CL:0000617		True
Sst_Clstn2	Sst_Clstn2	CL:0000617		True
L6a	L6a	CL:0000679		True
L5a	L5a	CL:0000679		True
Sst_Chodl	Sst_Chodl	CL:0000617		True
Sst_Nmbr	Sst_Nmbr	CL:0000617		True
L6a2	L6a2	CL:0000679		True
L5b	L5b	CL:0000679		True
L5b1	L5b1	CL:0000679		True
L5_Chrna6	L5_Chrna6	CL:0000679		True
L5b2	L5b2	CL:0000679		True
L6a1	L6a1	CL:0000679		True
Chodl	Chodl	CL:0000617		True
